filename	title	style	region	year	tokens
2.spok_hu_radio_052_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	644432
2.spok_hu_radio_015_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	603735
2.spok_hu_radio_037_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	220495
2.spok_hu_radio_049_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	563332
2.spok_hu_radio_050_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	583243
2.spok_hu_radio_033_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	284657
2.spok_hu_radio_007_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	868891
2.spok_hu_radio_039_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	253180
2.spok_hu_radio_001_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	439263
2.spok_hu_radio_026_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	176249
2.spok_hu_radio_010_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	431407
2.spok_hu_radio_004_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	938892
2.spok_hu_radio_021_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	315752
2.spok_hu_radio_022_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	307609
2.spok_hu_radio_005_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	1103523
2.spok_hu_radio_020_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	625986
2.spok_hu_radio_059_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	6080
2.spok_hu_radio_055_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	36572
2.spok_hu_radio_014_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	674661
2.spok_hu_radio_017_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	797705
2.spok_hu_radio_013_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	399297
2.spok_hu_radio_025_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	251402
2.spok_hu_radio_030_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	218906
2.spok_hu_radio_053_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	647602
2.spok_hu_radio_011_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	409740
2.spok_hu_radio_008_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	842283
2.spok_hu_radio_019_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	756868
2.spok_hu_radio_032_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	259780
2.spok_hu_radio_006_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	1011860
2.spok_hu_radio_040_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	298806
2.spok_hu_radio_045_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	379464
2.spok_hu_radio_047_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	423694
2.spok_hu_radio_038_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	178647
2.spok_hu_radio_048_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	438574
2.spok_hu_radio_042_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	299456
2.spok_hu_radio_031_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	276145
2.spok_hu_radio_043_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	256412
2.spok_hu_radio_034_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	265644
2.spok_hu_radio_016_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	838070
2.spok_hu_radio_000_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	458043
2.spok_hu_radio_012_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	398891
2.spok_hu_radio_044_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	403803
2.spok_hu_radio_051_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	556809
2.spok_hu_radio_027_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	207109
2.spok_hu_radio_003_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	840505
2.spok_hu_radio_046_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	405090
2.spok_hu_radio_024_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	110487
2.spok_hu_radio_002_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	417764
2.spok_hu_radio_018_2008.vert	Magyar Rádió Leiratok	spoken	Hungary	2008	854678
2.spok_hu_radio_004_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	276935
2.spok_hu_radio_047_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	368421
2.spok_hu_radio_010_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	193299
2.spok_hu_radio_024_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	414597
2.spok_hu_radio_013_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	343079
2.spok_hu_radio_014_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	352184
2.spok_hu_radio_027_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	347257
2.spok_hu_radio_015_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	437008
2.spok_hu_radio_044_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	428695
2.spok_hu_radio_054_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	192849
2.spok_hu_radio_048_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	377688
2.spok_hu_radio_058_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	7957
2.spok_hu_radio_040_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	287243
2.spok_hu_radio_020_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	309473
2.spok_hu_radio_036_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	333172
2.spok_hu_radio_031_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	334587
2.spok_hu_radio_046_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	376529
2.spok_hu_radio_051_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	326965
2.spok_hu_radio_030_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	235274
2.spok_hu_radio_055_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	23507
2.spok_hu_radio_035_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	240630
2.spok_hu_radio_053_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	213594
2.spok_hu_radio_034_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	270082
2.spok_hu_radio_032_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	252893
2.spok_hu_radio_038_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	333217
2.spok_hu_radio_009_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	143620
2.spok_hu_radio_006_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	217224
2.spok_hu_radio_039_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	285433
2.spok_hu_radio_023_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	236655
2.spok_hu_radio_037_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	289966
2.spok_hu_radio_022_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	257319
2.spok_hu_radio_000_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	309408
2.spok_hu_radio_018_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	232471
2.spok_hu_radio_002_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	473888
2.spok_hu_radio_016_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	304929
2.spok_hu_radio_028_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	393688
2.spok_hu_radio_052_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	322777
2.spok_hu_radio_001_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	329003
2.spok_hu_radio_011_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	264628
2.spok_hu_radio_003_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	311216
2.spok_hu_radio_041_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	380028
2.spok_hu_radio_025_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	307349
2.spok_hu_radio_017_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	322858
2.spok_hu_radio_008_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	124853
2.spok_hu_radio_042_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	340041
2.spok_hu_radio_021_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	219890
2.spok_hu_radio_045_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	445215
2.spok_hu_radio_043_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	394925
2.spok_hu_radio_005_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	269074
2.spok_hu_radio_029_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	304046
2.spok_hu_radio_050_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	302881
2.spok_hu_radio_012_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	353122
2.spok_hu_radio_026_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	375302
2.spok_hu_radio_019_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	415208
2.spok_hu_radio_007_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	277143
2.spok_hu_radio_049_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	289840
2.spok_hu_radio_033_2009.vert	Magyar Rádió Leiratok	spoken	Hungary	2009	219406
2.spok_hu_radio_035_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	380114
2.spok_hu_radio_002_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	185924
2.spok_hu_radio_011_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	398819
2.spok_hu_radio_054_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	220057
2.spok_hu_radio_023_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	181074
2.spok_hu_radio_036_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	359851
2.spok_hu_radio_048_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	272781
2.spok_hu_radio_029_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	507635
2.spok_hu_radio_014_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	239688
2.spok_hu_radio_003_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	35795
2.spok_hu_radio_038_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	383564
2.spok_hu_radio_001_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	265692
2.spok_hu_radio_049_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	249525
2.spok_hu_radio_050_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	217908
2.spok_hu_radio_042_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	355404
2.spok_hu_radio_053_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	103418
2.spok_hu_radio_028_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	518377
2.spok_hu_radio_009_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	226648
2.spok_hu_radio_052_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	153105
2.spok_hu_radio_040_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	494590
2.spok_hu_radio_039_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	464350
2.spok_hu_radio_047_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	370745
2.spok_hu_radio_013_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	326120
2.spok_hu_radio_022_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	172629
2.spok_hu_radio_004_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	18367
2.spok_hu_radio_016_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	46968
2.spok_hu_radio_020_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	202222
2.spok_hu_radio_044_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	326433
2.spok_hu_radio_034_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	421301
2.spok_hu_radio_032_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	322326
2.spok_hu_radio_033_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	335545
2.spok_hu_radio_008_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	19671
2.spok_hu_radio_030_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	424083
2.spok_hu_radio_046_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	285911
2.spok_hu_radio_017_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	19802
2.spok_hu_radio_056_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	5199
2.spok_hu_radio_024_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	162076
2.spok_hu_radio_026_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	249271
2.spok_hu_radio_043_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	417781
2.spok_hu_radio_019_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	146833
2.spok_hu_radio_051_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	223007
2.spok_hu_radio_000_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	233366
2.spok_hu_radio_010_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	444496
2.spok_hu_radio_018_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	104522
2.spok_hu_radio_021_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	141616
2.spok_hu_radio_012_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	415172
2.spok_hu_radio_045_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	308568
2.spok_hu_radio_027_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	341119
2.spok_hu_radio_041_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	375503
2.spok_hu_radio_031_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	350718
2.spok_hu_radio_025_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	268800
2.spok_hu_radio_037_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	433168
2.spok_hu_radio_015_2010.vert	Magyar Rádió Leiratok	spoken	Hungary	2010	220640
2.spok_hu_radio_023_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	484983
2.spok_hu_radio_030_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	247482
2.spok_hu_radio_052_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	176760
2.spok_hu_radio_038_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	436409
2.spok_hu_radio_020_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	183014
2.spok_hu_radio_043_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	342722
2.spok_hu_radio_025_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	411540
2.spok_hu_radio_011_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	311903
2.spok_hu_radio_027_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	252656
2.spok_hu_radio_035_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	339628
2.spok_hu_radio_042_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	330452
2.spok_hu_radio_050_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	249475
2.spok_hu_radio_047_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	194491
2.spok_hu_radio_029_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	231338
2.spok_hu_radio_003_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	233810
2.spok_hu_radio_057_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	9987
2.spok_hu_radio_006_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	87937
2.spok_hu_radio_010_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	222974
2.spok_hu_radio_051_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	135498
2.spok_hu_radio_045_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	240586
2.spok_hu_radio_018_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	49818
2.spok_hu_radio_049_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	226599
2.spok_hu_radio_034_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	304173
2.spok_hu_radio_037_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	332394
2.spok_hu_radio_022_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	421361
2.spok_hu_radio_036_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	355855
2.spok_hu_radio_044_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	253265
2.spok_hu_radio_031_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	301528
2.spok_hu_radio_012_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	244883
2.spok_hu_radio_014_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	171126
2.spok_hu_radio_004_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	144559
2.spok_hu_radio_040_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	333199
2.spok_hu_radio_009_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	217906
2.spok_hu_radio_016_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	133871
2.spok_hu_radio_005_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	114965
2.spok_hu_radio_039_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	351205
2.spok_hu_radio_015_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	90129
2.spok_hu_radio_032_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	275518
2.spok_hu_radio_033_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	317712
2.spok_hu_radio_024_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	420395
2.spok_hu_radio_028_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	181450
2.spok_hu_radio_001_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	324110
2.spok_hu_radio_055_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	7003
2.spok_hu_radio_058_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	174014
2.spok_hu_radio_046_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	269637
2.spok_hu_radio_019_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	118066
2.spok_hu_radio_021_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	475570
2.spok_hu_radio_048_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	241915
2.spok_hu_radio_000_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	361969
2.spok_hu_radio_008_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	139820
2.spok_hu_radio_026_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	336017
2.spok_hu_radio_007_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	83455
2.spok_hu_radio_053_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	223222
2.spok_hu_radio_041_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	305844
2.spok_hu_radio_013_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	283501
2.spok_hu_radio_002_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	243456
2.spok_hu_radio_054_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	182384
2.spok_hu_radio_017_2011.vert	Magyar Rádió Leiratok	spoken	Hungary	2011	53637
2.spok_hu_radio_016_2012.vert	Magyar Rádió Leiratok	spoken	Hungary	2012	9214
2.spok_hu_radio_049_2012.vert	Magyar Rádió Leiratok	spoken	Hungary	2012	29217
2.spok_hu_radio_018_2012.vert	Magyar Rádió Leiratok	spoken	Hungary	2012	42037
2.spok_hu_radio_055_2012.vert	Magyar Rádió Leiratok	spoken	Hungary	2012	1513963
2.spok_hu_radio_043_2012.vert	Magyar Rádió Leiratok	spoken	Hungary	2012	44223
